Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/06/16,43827.774704486954,43827.7802256886,0.001261312936549075,1.127773430198431e-09,4808.852081421929,53.23636930504381,39018.922623065024,43417.0,44238.0,43418.0,44238.0,,,,,
2020/06/17,43827.77573123953,43827.780225689356,0.0010267525794915855,7.566995918750763e-10,4862.01591697288,53.16383555095126,38965.759814266654,43419.0,44239.0,43418.0,44239.0,,,,,
2020/06/18,43827.77656705173,43827.78022568992,0.0008358121995115653,5.675246939063072e-10,4915.107317309159,53.09140033627864,38912.669249742576,43417.0,44238.0,43418.0,44239.0,,,,,
2020/06/19,43827.77724743192,43827.78022569027,0.0006803801879868843,3.4924596548080444e-10,4968.126380889634,53.01906358047472,38859.65086654229,43417.0,44239.0,43418.0,44237.0,,,,,
2020/06/20,43827.77780128465,43827.7802256905,0.0005538527257158421,2.255546860396862e-10,5021.073206082756,52.946825193122095,38806.70459520189,43418.0,44240.0,43418.0,44238.0,,,,,
2020/06/21,43827.77825214035,43827.780225690716,0.0004508557030931115,2.1827872842550278e-10,5073.947891158535,52.87468507577887,38753.83036098182,43418.0,44239.0,43419.0,44238.0,,,,,
2020/06/22,43827.778619153134,43827.78022569084,0.0003670127844088711,1.2369127944111824e-10,5126.750534282063,52.80264312352847,38701.02808487107,43418.0,44237.0,43419.0,44239.0,,,,,
2020/06/23,43827.77891791401,43827.78022569091,0.00029876087501179427,7.275957614183426e-11,5179.481233508278,52.73069922621471,38648.297684405734,43417.0,44238.0,43418.0,44238.0,,,,,
2020/06/24,43827.77916111552,43827.78022569099,0.00024320150987477973,8.003553375601768e-11,5232.14008677771,52.65885326943226,38595.63907433781,43419.0,44239.0,43418.0,44238.0,,,,,
2020/06/25,43827.77935908996,43827.78022569102,0.0001979744411073625,2.9103830456733704e-11,5284.727191913074,52.587105135364254,38543.05216717689,43418.0,44240.0,43418.0,44238.0,,,,,
2020/06/26,43827.779520247925,43827.78022569104,0.00016115796461235732,2.1827872842550278e-11,5337.242646616524,52.515454703449905,38490.5368736314,43417.0,44239.0,43418.0,44239.0,,,,,
2020/06/27,43827.77965143621,43827.78022569107,0.00013118828792357817,2.9103830456733704e-11,5389.686548467449,52.4439018509247,38438.09310296876,43417.0,44239.0,43418.0,44239.0,,,,,
2020/06/28,43827.779758228025,43827.78022569108,0.00010679181286832318,7.275957614183426e-12,5442.058994920719,52.37244645326973,38385.720763307305,43418.0,44239.0,43418.0,44238.0,,,,,
2020/06/29,43827.779845160076,43827.78022569107,8.693205018062145e-05,-7.275957614183426e-12,5494.360083305282,52.30108838456363,38333.41976185479,43418.0,44238.0,43418.0,44238.0,,,,,
2020/06/30,43827.77991592579,43827.780225691095,7.076571637298912e-05,2.1827872842550278e-11,5546.5899108230615,52.229827517779086,38281.19000510273,43419.0,44238.0,43418.0,44240.0,,,,,
2020/07/01,43827.77997353157,43827.7802256911,5.7605779147706926e-05,7.275957614183426e-12,5598.74857454809,52.15866372502842,38229.03139898348,43417.0,44239.0,43418.0,44239.0,,,,,
